Country,ISIC_AB,ISIC_CE,ISIC_D,ISIC_F,ISIC_GH,ISIC_I,ISIC_JP,ISIC_C_E
Uganda,.440508211154756,.0189321365859924,.05575628124292,.089771198033547,.2708433191381602,.0411526890089494,.1100777873644373,-.036824144
Ukraine,,,,,,,,
United Arab Emirates,.0038225582368525,.0736552285952782,.0083421520005533,.6900411561280321,.0681775403837148,.0303384083513814,.1178456137476555,.065313078
United Kingdom,.0083483642043764,.1084384379040481,.1914397617049765,.255419861039419,.3997224680147929,.0813440270288917,.1394733928955289,-.083001323
United States,.0095229490530662,.0912707015260952,.1361997341917676,.1975605476044341,.5450046999633286,.0577719930745793,.0968217727036999,-.044929031
Uruguay,.1126969046659508,.0664129919321514,.2203123559000234,.2445690366659673,.4004723564613821,.0399857007657704,.1358628511201528,-.15389936
Uzbekistan,,,,,,,,
Vanuatu,.2344459642329491,.0290337658700313,.0327937259334497,.0515480124063236,.3641947398019694,.1323561803771363,.1874944691003251,-.0037599602
Venezuela (Bolivarian Republic of),.0353938408985078,.1058356993583319,.1411686308906118,.6384584995150731,.1303261340846943,.0378636908569886,.1405751659187495,-.035332933
Viet Nam,.3587361670949305,.0453414512938851,.1524713748753012,.1972299801245698,.1461413497872096,.0521419900892022,.1907254163180364,-.10712992
Yemen,,,,,,,,
Yemen Arab Republic (Former),.2529367442606511,.0845065493154765,.0218408024454691,.1041869018825535,.1178077495984731,.0823812425739377,.1220442319511989,.062665746
Yemen Democratic (Former),.0963850138575211,.0192925174075427,.0870808291746231,.3816617526216303,.1870136857936652,.0598079284208791,.2139267166960225,-.06778831
Yugoslavia (Former),.1257714057981597,.1144807042274422,.2165338707421883,.2808084514240099,.2725937629603707,.0537297658595599,.141976682287703,-.10205317
Zambia,.1741808642932106,.1677991265658737,.0896096544771852,.3051669497187585,.1622770564594286,.0375704914656338,.0855436078551523,.07818947
Zanzibar,,,,,,,,
Zimbabwe,.1133107452036052,.0245578239588161,.0691695723317761,.4715878339242052,.1680614398433698,.0276402484260981,.1921454679620363,-.044611748
